,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
0,24811308,Marek Deryło,"Słynny aktor wspominał mistrzostwa Europy w boksie w 1953 r. podczas których zawodnicy Stamma zdobyli pięć złotych medali i pięć razy odsłuchali Mazurka Dąbrowskiego.- Był to wyczyn bez precedensu. Nie tylko sportowy, bo przecież pięściarze dziadka nokautowali i Niemców, i reprezentantów Związku Radzieckiego. Jestem przeszczęśliwa, że w rocznicę tamtych triumfów odsłaniamy pomnik - opowiadała Paula Stamm. Zebrany w parku Mirowskim tłum skandował: Brawo, Stamm!”, tak jak warszawscy kibice, którzy 66 lat temu na rękach wynieśli trenera z hali Gwardii.Waldemar Dąbrowski, były minister kultury, który przemawiał w imieniu fundatora pomnika, Zbigniewa Jakubasa, dodał: - Wtedy nad spopieloną Warszawą zaświeciło słońce. Pokazaliśmy, że przetrwaliśmy, trwamy i zwyciężamy.",2019-05-21 20:00:00.000000,hala gwardii,"- To były Mazurki, które prostowały plecy - powiedział Daniel Olbrychski i razem z prawnuczką legendarnego trenera, Paulą, odsłonił pomnik Feliksa ""Papy"" Stamma (1901-1976).",True,2019-05-23 19:56:05.718455,"- To były Mazurki, które prostowały plecy - powiedział Daniel Olbrychski i razem z prawnuczką legendarnego trenera, Paulą, odsłonił pomnik Feliksa ""Papy"" Stamma (1901-1976).",Paula Stamm i Daniel Olbrychski odsłaniają pomnik Feliksa 'Papy' Stamma,"https://bi.im-g.pl/im/26/a9/17/z24811302V,Paula-Stamm-i-Daniel-Olbrychski-odslaniaja-pomnik-.jpg",image,Złoty Papa z brązu. Przed halą Gwardii odsłonięto pomnik Feliksa Stamma,"http://warszawa.wyborcza.pl/warszawa/7,54420,24811308,zloty-papa-z-brazu-przed-hala-gwardii-odslonieto-pomnik-feliksa.html"
1,24811388,Rafał Wójcik  Łukasz Woźnicki,"W ocenie Zarządu Głównego SDP nowelizacja kodeksu karnego ""oznacza zaostrzenie zakresu obowiązywania art. 212"".  Dalej czytamy, że ""szczególnie bulwersujące jest przy tym objęcie tego przestępstwa ściganiem z urzędu w sytuacji, gdy samo pomówienie ściga się na podstawie prywatnej skargi"".Zdaniem SDP ""proponowana regulacja prawna jest więc utrwaleniem patologii polskiego wymiaru sprawiedliwości poprzez utrzymywanie w nim represji karnych w sprawach dotyczących wolności słowa i wyrażania opinii, co dla dziennikarzy jest szczególnie dotkliwe"". W związku z tym SDP ""stanowczo protestuje przeciwko zaostrzeniu art. 212"", a proponowana regulacja ""budzi zdecydowany sprzeciw"".Na koniec SDP apeluje do prezydenta i Senatu o wycofanie zmian w art. 212 kk, a do parlamentu - o całkowitą likwidację tego zapisu prawnego.Pod pozorem walki z pedofilią Zbigniew Ziobro wprowadza nowy - karany więzieniem - typ zniesławienia. Prokuratura z urzędu będzie ścigać za tworzenie ""fałszywych dowodów"" służących pomówieniu.",2019-05-21 21:30:00.000000,SDP,"Sympatyzujące z obozem władzy Stowarzyszenie Dziennikarzy Polskich apeluje do prezydenta i Senatu o wycofanie zmian w art. 212 k.k, a do Parlamentu o całkowitą likwidację tego zapisu prawnego.",True,2019-05-23 19:56:05.718455,"Sympatyzujące z obozem władzy Stowarzyszenie Dziennikarzy Polskich apeluje do prezydenta i Senatu o wycofanie zmian w art. 212 kk, a do parlamentu - o całkowitą likwidację tego zapisu prawnego.",Prezes SDP Krzysztof Skowroński.,"https://bi.im-g.pl/im/8d/a9/17/z24811405V,Prezes-SDP-Krzysztof-Skowronski-.jpg",image,SDP stanowczo protestuje przeciwko zaostrzeniu art. 212 kodeksu karnego,"http://wyborcza.pl/7,75398,24811388,sdp-stanowczo-protestuje-przeciwko-zaostrzeniu-art-212-kodeksu.html"
2,24811404,amg,"Od dwóch dni IMGW i Polscy Łowcy Burz ostrzegają przed gwałtownymi burzami. Do niebezpiecznego zjawiska doszło we wtorek późnym popołudniem w Jarosławicach koło Wolanowa. Dwóch mężczyzn nagrało moment, gdy z chmury tworzy się lej i idzie wprost na nich. – Ta trąba się rozchodzi, może do nas nie dojdzie – słychać wcześniej głosy mężczyzn na nagraniu. - Parę dachów poleciało - ocenia jeden z nich.– Oto kolejne nagranie przedstawiające jedną z dzisiejszych trąb powietrznych z całej serii – tym razem wykonane w Jarosławicach w gminie Wolanów powiat radomski. Nagranie nadesłał do nas Marcin Kornata – napisali Polscy Łowcy Burz na Facebooku.– Oprócz wymienionych w poprzednich wpisach trąb powietrznych, otrzymaliśmy informacje o możliwym kontakcie z ziemią leja kondensacyjnego w rejonie Bilczy k. Kielc. Zalążek trąby powietrznej zaobserwano również w okolicach Łodzi – informują Polscy Łowcy Burz.",2019-05-21 21:08:00.000000,Wiadomości z Radomia,"- Ta trąba się rozchodzi, może do nas nie dojdzie - , słychać głosy mężczyzn na nagraniu zrobionym w poniedziałek po południu w Jarosławicach niedaleko Radomia, .. W Radomiu i regionie radomskim nadal obowiązuje pierwszy stopień ostrzeżenia. IMGW apeluje o zabezpieczenie swojego dobytku",True,2019-05-23 19:56:05.718455,"- Ta trąba się rozchodzi, może do nas nie dojdzie. Parę dachów poleciało - słychać głosy mężczyzn na nagraniu zrobionym w poniedziałek po południu w Jarosławicach niedaleko Radomia. W Radomiu i regionie radomskim nadal obowiązuje pierwszy stopień...","Tornado, które pojawiło się 16 maja 2017 roku w pobliżu miejscowości McLean w północnym Teksasie","http://bi.gazeta.pl/im/f7/22/15/z22160119V,Tornado--ktore-pojawilo-sie-16-maja-2017-roku-w-po.jpg",image,Trąba powietrzna w Jarosławicach koło Radomia. IMGW i Polscy Łowcy Burz nadal ostrzegają przed burzami,"http://radom.wyborcza.pl/radom/7,48201,24811404,traba-powietrzna-w-jaroslawicach-kolo-radomia-imgw-i-polscy.html"
3,24811407,Estera Flieger,"Podczas Nocy Muzeów Karol Nawrocki, dyrektor Muzeum II Wojny Światowej w Gdańsku, przerwał występ artystów wykonujących tango „Ciemna dziś noc” z tekstem w polskim przekładzie Juliana Tuwima. Tłumaczył, że to bolszewicki utwór. Rzecznik placówki Aleksander Masłowski wydał oświadczenie, w którym pisze o „wyreżyserowanej prowokacji o podtekście politycznym”. Według Masłowskiego utwór w „bałamutny sposób” ukazuje czerwonoarmistę.Rozmowa z Piotrem Kosewskim, dyrektorem artystycznym Festiwalu Twórczości Jeremiego Przybory i Jerzego WasowskiegoEstera Flieger: „Ciemna dziś noc” to bolszewickie tango?Piotr Kosewski: W żadnym wypadku. Przecież utwór był krytykowany w Związku Radzieckim.To o czym jest ta piosenka?– O rozłące, tragedii wojny. Nie myślałem, że można ją odczytać inaczej.Jest wiele innych piosenek o tym. Dlaczego wybrał pan akurat tę?– Bo znam ją z wykonania Wiery Gran. To jedna z piękniejszych piosenek o wojnie. Uczuciowa, sentymentalna. I ma piękną melodię.",2019-05-21 21:09:00.000000,Kraj,"- Występ zaczął się od ""Ciemna dziś noc"". Grała już muzyka, koleżanka lada moment miała zacząć śpiewać, ale wtedy pomiędzy muzyków wszedł Karol Nawrocki... - opowiada Piotr Kosewski, jeden z wykonawców koncertu przerwanego przez dyrektora Muzeum II Wojny Swiatowej",True,2019-05-23 19:56:05.718455,"- Występ zaczął się od utworu ""Ciemna dziś noc"". Grała już muzyka, koleżanka lada moment miała zacząć śpiewać, ale wtedy pomiędzy muzyków wszedł Karol Nawrocki... - opowiada Piotr Kosewski, jeden z wykonawców koncertu przerwanego przez dyrektora...","Obecny dyrektor Muzeum II Wojny Swiatowej Karol Nawrocki podczas uroczystości poświecenia muzeum. Gdańsk, 8 maja 2017","http://bi.gazeta.pl/im/16/e3/16/z24000790V,Obecny-dyrektor-Muzeum-II-Wojny-Swiatowej-Karol-Na.jpg",image,"Po skandalu w czasie Nocy Muzeów. Nawrocki wszedł i krzyczał, że bolszewicy mordowali nasze rodziny","http://wyborcza.pl/7,75398,24811407,po-skandalu-w-noc-muzeow-nawrocki-wszedl-i-krzyczal-ze-bolszewicy.html"
4,24811353,Ewa Ivanova,"Beata Mik jest emerytowaną prokuratorką dawnej Prokuratury Generalnej. Od lat publikowała w prasie – m.in. w „Rzeczpospolitej” – felietony i artykuły prawnicze. W marcu 2018 r. rzecznik dyscyplinarny prokuratora generalnego obwinił ją o to, że nie poinformowała przełożonych o dalszej współpracy z gazetą, „osłabiając zaufanie do niezależności prokuratury i prokuratorów”. Zdaniem rzecznika naruszyła art. 103 par. 4 prawa o prokuraturze. Mówi on, że „o zamiarze podjęcia dodatkowego zatrudnienia, a także o podjęciu innego zajęcia lub sposobu zarobkowania” prokuratorzy zawiadamiają swoich przełożonych. Przełożeni mają prawo zgłosić sprzeciw, gdy zajęcie stawia pod znakiem zapytania niezależność prokuratora.Jednak Beata Mik miała zgody przełożonych na pisanie tekstów. Pierwszej udzielił już w 2000 r. ówczesny prokurator generalny Lech Kaczyński. Ale według rzecznika dyscyplinarnego raz dana zgoda nie jest wieczna. Powinna zgłosić swoją działalność prokuratorowi krajowemu.",2019-05-21 20:42:00.000000,Kraj,"Prokurator Beata Mik, ścigana przez rzecznika dyscyplinarnego za publikacje krytycznych wobec władzy artykułów bez zgody przełożonych, niespodziewanie została uniewinniona przez Izbę Dyscyplinarną SN. - To rozstrzygnięcie nie było specjalnie trudne - stwierdził sędzia.",True,2019-05-23 19:56:05.718455,"Prokurator Beata Mik, ścigana przez rzecznika dyscyplinarnego za publikacje krytycznych wobec władzy artykułów bez zgody przełożonych, niespodziewanie została uniewinniona przez Izbę Dyscyplinarną SN. - To rozstrzygnięcie nie było specjalnie trudne...",Sąd Najwyższy w Warszawie,"http://bi.gazeta.pl/im/b8/10/15/z22087352V,Sad-Najwyzszy-w-Warszawie.jpg",image,Nie będzie kary za pisanie felietonów. Izba Dyscyplinarna uniewinniła prokuratorkę,"http://wyborcza.pl/7,75398,24811353,nie-bedzie-kary-za-pisanie-felietonow-izba-dyscyplinarna-uniewinnila.html"
5,24811389,Łukasz Woźnicki,"– W postępowaniu nominacyjnym doszło do rażącego naruszenia prawa i nie wiadomo, czy sąd, w którym zasiada tak powołany sędzia, jest sądem niezawisłym i bezstronnym w rozumieniu prawa unijnego – uznał we wtorek siedmioosobowy skład sędziów Izby Cywilnej. O rozstrzygnięcie wątpliwości sędziowie wystąpili do Trybunału Sprawiedliwości UE.Od odpowiedzi na pytanie prejudycjalne może zależeć przyszłość nowych osób powołanych do SN dzięki prezydenckiej „reformie” sądownictwa. Wśród byli prokuratorzy – zaufani ministra sprawiedliwości Zbigniewa Ziobry i prawnicy powiązani z PiS. Wtorkowa decyzja sądu dotyczy byłego wiceministra rządu PiS, który dziś orzeka w SN, prof. UW Aleksandra Stępkowskiego. To założyciel i były prezes Instytutu na rzecz Kultury Prawnej „Ordo Iuris”, który po wygranych przez PiS wyborach został wiceszefem MSZ. W lutym prezydent powołał go do SN.",2019-05-21 20:37:00.000000,Kraj,"Sąd Najwyższy uznał we wtorek, że nowe osoby powołano do SN z naruszeniem prawa i zadał kolejne pytanie unijnemu Trybunałowi Sprawiedliwości. Sprawa dotyczy 37 osób powołanych przez prezydenta z udziałem upolitycznionej KRS.",True,2019-05-23 19:56:05.718455,"Sąd Najwyższy uznał we wtorek, że nowe osoby powołano do SN z naruszeniem prawa i zadał kolejne pytanie unijnemu Trybunałowi Sprawiedliwości. Sprawa dotyczy 37 osób powołanych przez prezydenta z udziałem upolitycznionej KRS.","30.11.2017 Warszawa, Sejm. Rzecznik KRS Waldemar Żurek podczas obrad Komisji Sprawiedliwości i Praw Człowieka nad ustawą o Sadzie Najwyższym.","http://bi.gazeta.pl/im/48/ab/15/z22720840V,30-11-2017-Warszawa--Sejm--Rzecznik-KRS-Waldemar-Z.jpg",image,TSUE zajmie się nowymi sędziami Sądu Najwyższego,"http://wyborcza.pl/7,75398,24811389,tsue-zajmie-sie-nowymi-sedziami-sadu-najwyzszego.html"
6,24811287,Maciej Chołodowski,"Zgodnie z zamierzeniami droga S16 na odcinku Ełk – Knyszyn w każdym z planowanych wariantów ma przeciąć Biebrzański Park Narodowy. Drogowcy i urzędnicy twierdzą, że nie da się go ominąć.W ramach przygotowań do budowy drogi ekspresowej S16 na odcinku Knyszyn – Ełk prace na dobre trwają od blisko pięciu miesięcy. 14 stycznia w białostockim oddziale Generalnej Dyrekcji Dróg Krajowych i Autostrad została podpisana umowa na przygotowanie odpowiedniej dokumentacji projektowej.– Przygotowane materiały pozwolą za 2,5 roku wystąpić z wnioskiem o decyzję środowiskową – informował wówczas Rafał Malinowski, główny specjalista ds. komunikacji społecznej białostockiego oddziału GDDKiA.Jak zapowiadał, realizacja tego zadania w systemie „Projektuj i buduj” przewidziana jest na lata 2024 (podpisanie umowy) - 2027 (zakończenie robót). Odcinek Ełk – Knyszyn ma liczyć około 70 km.",2019-05-21 19:49:00.000000,protest,"Poprowadzenie fragmentu drogi ekspresowej przez bezcenny przyrodniczo Biebrzański Park Narodowy (Dolinę Biebrzy) planuje Generalna Dyrekcja Dróg Krajowych i Autostrad. Wywołuje to oburzenie ekologów i okolicznych mieszkańców. Porównują sytuację do tej, która zakończyła się protestami w dolinie Rospudy.",True,2019-05-23 19:56:05.718455,Poprowadzenie fragmentu drogi ekspresowej przez bezcenny przyrodniczo Biebrzański Park Narodowy (Dolinę Biebrzy) planuje Generalna Dyrekcja Dróg Krajowych i Autostrad. Wywołuje to oburzenie ekologów i okolicznych mieszkańców. Porównują sytuację do...,Biebrza,"https://bi.im-g.pl/im/05/05/11/z17846533V,Biebrza.jpg",image,Nie dla ekspresówki przez Biebrzański Park Narodowy. Szykuje się powtórka z Rospudy?,"http://bialystok.wyborcza.pl/bialystok/7,35241,24811287,nie-dla-ekspresowki-przez-biebrzanski-park-narodowy-szykuje.html"
7,24811257,Piotr Moszyński  Paryż,"Już trzykrotnie szpitalny personel rozpoczynał realizację protokołu „towarzyszenia w zakończeniu życia”. I trzykrotnie musiał ją przerwać z powodu interwencji sądowych – za sprawą interwencji rodziców Vincenta Lamberta.Najnowszy, czwarty epizod miał miejsce w poniedziałek 20 maja: rano uruchomiono wspomniany protokół, a wieczorem szpital dostał sądowy nakaz natychmiastowego przywrócenia podtrzymywania funkcji życiowych pacjenta.Zgodnie z francuskimi przepisami nie chodzi tu o eutanazję, która jest rozumiana jako aktywna pomoc w położeniu kresu życiu pacjenta, np. poprzez podanie mu odpowiednich środków. Przypadek Lamberta podpada raczej pod tzw. ustawę Leonettiego, znaną także jako „ustawa o końcu życia” i dotyczy tego, jak można się zachować, gdy w sensie medycznym staje się jasne, że ów koniec jest nieuchronny, bo stanu pacjenta nie da się w żaden sposób poprawić. Wówczas ustawa dopuszcza wdrożenie protokołu stopniowego odstawienia środków podtrzymujących życie, którego sam pacjent – bez zewnętrznej sztucznej pomocy – nie byłby w stanie ochronić i uratować.",2019-05-21 19:38:00.000000,Świat,"Lambert od 11 lat przebywa w szpitalu w Reims w stanie wegetatywnym. Część rodziny jest za przerwaniem sztucznego odżywiania i pojenia, część się temu sprzeciwia. Sądowa batalia trwa od sześciu lat - na razie bez rozstrzygnięcia.",True,2019-05-23 19:56:05.718455,"Lambert od 11 lat przebywa w szpitalu w Reims w stanie wegetatywnym. Część rodziny jest za przerwaniem sztucznego odżywiania i pojenia, część się temu sprzeciwia. Sądowa batalia trwa od sześciu lat - na razie bez rozstrzygnięcia.",Vincent Lambert w 2008 r. uległ wypadkowi motocyklowemu i od tego czasu przebywa w szpitalu w Reims. Zdjęcie z 8 grudnia 2014 r.,"https://bi.im-g.pl/im/4c/a9/17/z24811084V,Vincent-Lambert-w-2008-r--ulegl-wypadkowi-motocykl.jpg",image,Pozwolić żyć czy pozwolić umrzeć? Przypadek Vincenta Lamberta rozpala we Francji wielkie emocje,"http://wyborcza.pl/7,75399,24811257,pozwolic-zyc-czy-pozwolic-umrzec-przypadek-vincenta-lamberta.html"
8,24811200,Paweł Wojciechowski,"We wtorek decyzją Prokuratury Rejonowej w Gdańsku Oliwie Łukaszowi S., dziennikarzowi TVP, ogłoszono zarzuty za znęcanie się psychiczne i fizyczne nad 28-letnią kobietą. Zdaniem śledczych Łukasz S. przez rok miał dopuszczać się przemocy fizycznej i słownej wobec swojej partnerki. 11 listopada ub.r. kobieta złożyła zawiadomienie na policję, a po pół roku dochodzenia S. ogłoszono zarzuty.Po wtorkowej publikacji „Wyborczej” centrum prasowe TVP odpowiedziało na przesłane pytania.„W związku z toczącym się postępowaniem prokuratorskim, pan Łukasz S. (w komunikacie podano pełne nazwisko – przyp. red.) zostaje zawieszony w pełnieniu obowiązków służbowych do czasu wyjaśnienia sprawy – czytamy w odpowiedzi.Łukasz S. dostał zarzut z art. 207 par. 1 Kodeksu karnego, który mówi o fizycznym i psychicznym znęcaniu się „nad osobą najbliższą lub nad inną osobą pozostającą w stałym lub przemijającym stosunku zależności od sprawcy”. Zarzut postawiono, jak mówią prokuratorzy, „w zbiegu” z art. 157 par. 2, który odnosi się z kolei do uszkodzenia ciała na czas poniżej siedmiu dni.",2019-05-21 18:56:00.000000,Wiadomości Trójmiasto,"Dziennikarz TVP z Gdańska, Łukasz S., został zawieszony przez kierownictwo telewizji w związku z zarzutami dotyczącymi znęcania się nad swoją partnerką.",True,2019-05-23 19:56:05.718455,"Dziennikarz TVP z Gdańska, Łukasz S., został zawieszony przez kierownictwo telewizji w związku z zarzutami dotyczącymi znęcania się nad swoją partnerką.","Łukasz S. podczas realizacji materiału nagrywany przez Jacka Karnowskiego, prezydenta Sopotu.","https://bi.im-g.pl/im/57/a9/17/z24809559V,Lukasz-S--podczas-realizacji-materialu-nagrywany-p.jpg",image,Dziennikarz TVP Łukasz S. zawieszony po publikacji Wyborczej,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24811200,dziennikarz-tvp-lukasz-s-zawieszony-po-publikacji-wyborczej.html"
9,24811014,Agnieszka Kublik,"Im bliżej wyborów, tym gorzej dla faktów. Tych w „Wiadomościach” TVP. Nie ma tu praktycznie informacji, jest tylko punkt widzenia na informacje. Ba, czasem i nie ma podstawowych informacji, jeśli są jaskrawo sprzeczne z tym punktem widzenia. Punkt widzenia wyznacza prezes PiS-u Jarosław Kaczyński, a ukazuje go prezes TVP Jacek Kurski.Parę przykładów z ostatnich dni.W czwartek 16 maja prymas Polski arcybiskup Wojciech Polak udziela wywiadu konkurencji, stacji TVN24. – Musimy zmagać się i walczyć o to, żeby oczyścić Kościół z grzechu i przestępstwa – mówi tam. To jego odpowiedź na dokument braci Sekielskich „Tylko nie mów nikomu” o ukrywaniu przez Kościół pedofilów.Dla wielu, w tym dla obozu władzy, ten film to kolejny atak na Kościół. Ale prymas w wywiadzie oświadcza wprost, że „nie widzi ręki, która jest podniesiona na Kościół”. – Jeżeli Kościół przeżywa dzisiaj różne trudności, wyzwania, nawet kryzysowe, to one mają służyć oczyszczeniu – konstatuje.",2019-05-21 19:23:00.000000,Agnieszka Kublik,"Łajdackie podejście do faktów, szubrawe do prawdy, nikczemne do etyki. Po prostu brak słów. Cokolwiek by napisać, nie sposób oddać tego, co dzisiaj wyprawiają pisowscy propagandyści w TVP",True,2019-05-23 19:56:05.718455,"Łajdackie podejście do faktów, szubrawe do prawdy, nikczemne do etyki. Po prostu brak słów. Cokolwiek by napisać, nie sposób oddać tego, co dzisiaj wyprawiają pisowscy propagandyści w TVP","Prymas Polski abp Wojciech Polak podczas konferencji. Episkopat przedstawia raport dot. wykorzystywania seksualnego osob maloletnich w polskim kościele. Warszawa, 14 marca 2019","https://bi.im-g.pl/im/e6/a1/17/z24778470V,Prymas-Polski-abp-Wojciech-Polak-podczas-konferenc.jpg",image,Nie mam litości dla Wiadomości [POLITYKA TELEWIZYJNA],"http://wyborcza.pl/7,75398,24811014,nie-mam-litosci-dla-wiadomosci-polityka-telewizyjna.html"
