Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24820616,Tadeusz Kądziela,,2019-05-23 22:18:00,,,True,2019-05-28 15:34:50.464776,"- Nie jestem zwolenniczką parytetów, ale czasami są niezbędne, żeby zacząć zmiany w strukturach zdominowanych przez mężczyzn - mówi Dagmara Gerasimuk prezeska Polskiego Związku Biathlonu i członkini zarządu IBU.",,,,Na dziesięciu prezesów przypada jedna prezeska. Jak to zmienić?,"http://wyborcza.pl/7,154903,24820616,gdzie-te-kobiety.html"
,,24820657,Paweł Wroński,,2019-05-23 22:11:00,,,True,2019-05-28 15:34:50.464776,"Istotą opisanego przez Monteskiusza trójpodziału władz jest zasada, że każda z tych władz kontroluje drugą. Czy ""kontrolują się"" podczas kolacji przyrządzanych przez sędzię Przyłębską dla premiera i prezesa PiS?",,,,Demokracja towarzyska przy pieczeni u Przyłębskiej,"http://wyborcza.pl/7,75398,24820657,demokracja-towarzyska-przy-pieczeni-u-przylebskiej.html"
,,24818756,koz,,2019-05-23 19:00:00,,,True,2019-05-28 15:34:50.464776,Rozwiązaniem Rady Miejskiej w Lubinie PiS straszy Bezpartyjnych Samorządowców. Te dwa ugrupowania od ubiegłego roku są w koalicji i razem rządzą Dolnym Śląskiem.,,,,PiS straszy bezpartyjnego koalicjanta rozwiązaniem Rady Miejskiej w Lubinie,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24818756,to-nie-zart-pis-straszy-bezpartyjnego-koalicjanta-rozwiazaniem.html"
,,24820419,MICHAŁ KOKOT,,2019-05-23 21:01:00,,,True,2019-05-28 15:34:50.464776,"Opowieść o losach latynoskich imigrantów, historia otrucia Siergieja Skripala przez wysłanników rosyjskiego wywiadu czy śledztwo dokumentujące zabójstwa dziennikarzy - takie materiały zostały w czwartek nagrodzone prestiżową European Press Prize,...",,,,Europejski Pulitzer w redakcji Wyborczej,"http://wyborcza.pl/7,75399,24820419,europejski-pulitzer-w-redakcji-wyborczej.html"
,,24820370,red.,,2019-05-23 20:41:00,,,True,2019-05-28 15:34:50.464776,"W piątek do całego nakładu ""Gazety Wyborczej"" dołączymy plakat z flagą Unii Europejskiej z hasłem ""Europa na tak!"". Na jego drugiej stronie czytelnicy znajdą grafikę odwołującą się do idei przyjaźni europejskiej stworzoną przez młodych artystów w...",,,,Europejski plakat z piątkową Wyborczą: Europa na tak i Pencil Friends,"http://wyborcza.pl/7,75248,24820370,europejski-plakat-z-piatkowa-wyborcza-europa-na-tak-i-pencil.html"
,,24819547,Christo Grozev  Roman Dobrokhotov  Daniel Romein  Belingcat / Insider,,2019-05-23 20:40:00,,,True,2019-05-28 15:34:50.464776,"Okazało się, że babcia Aleksandra Miszkina ma zdjęcie, na którym prezydent Putin przypina mu Złotą Gwiazdę i ściska dłoń. Byliśmy krok od zidentyfikowania drugiego agenta, który otruł Siergieja Skripala",,,,Truciciele z Salisbury. Oto najlepszy materiał śledczy 2018 r.,"http://wyborcza.pl/7,75399,24819547,truciciele-z-salisbury-najlepsze-dziennikarstwo-sledcze-2018.html"
,,24812585,Madeleine Schwartz  The Guardian,,2019-05-23 20:38:00,,,True,2019-05-28 15:34:50.464776,Elity związane z polityką zagraniczną lamentują nad śmiercią idei transatlantyckiej niemal od pół wieku. Tymczasem ta koncepcja od dawna jest wygodnym mitem,,,,Rozwód z Ameryką? Oto najlepsza europejska publicystyka 2018 r.,"http://wyborcza.pl/7,75399,24812585,rozwod-z-ameryka-oto-najlepsza-europejska-publicystyka-2018.html"
,,24813600,Katrin Kuntz  Marian Blasberg  Christoph Scheuermann (Der Spiegel),,2019-05-23 20:37:00,,,True,2019-05-28 15:34:50.464776,Musimy wykąpać pani syna - powiedział amerykański strażnik do uciekinierki z Hondurasu. Dziecko zobaczyła dopiero po dwóch miesiącach. Było inne. To skutki antyimigracyjnej polityki Donalda Trumpa,,,,56 dni - oto najlepszy europejski reportaż 2018 r.,"http://wyborcza.pl/7,75399,24813600,56-dni-oto-najlepszy-europejski-reportaz-2018-r.html"
,,24820213,Michał Tokarczyk,,2019-05-23 20:23:00,,,True,2019-05-28 15:34:50.464776,Eurowybory 2019. Jaka będzie przyszłość Polski w Unii Europejskiej? Czy europarlament powinien zająć się mową nienawiści? Co z węglem? Na te i inne pytania odpowiadali pomorscy kandydaci do europarlamentu na debacie Radia TOK FM.,,,,Eurowybory 2019. Ostatnie starcie kandydatów z Pomorza podczas debaty TOK FM,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24820213,przedwyborcza-debata-tok-fm-ostatnie-starcie-kandydatow-z-pomorza.html"
,,24820207,Tadeusz Kądziela,,2019-05-23 20:31:00,,,True,2019-05-28 15:34:50.464776,Hubert Hurkacz zacznie Rolanda Garrosa od meczu z rozstawionym z jedynką Serbem Novakiem Djokoviciem. Iga Świątek i Magda Linette wylosowały znacznie niżej notowane rywalki.,,,,"Roland Garros. Hubert Hurkacz zagra z Novakiem Djokoviciem, szczęśliwe losowanie Polek","http://wyborcza.pl/7,154903,24820207,roland-garros-hubert-hurkacz-zagra-z-novakiem-djokoviciem.html"
