,urls
0,"http://lublin.wyborcza.pl/lublin/7,48724,24793298,w-dolhobyczowie-platforma-otworzyla-granice-z-ukraina-przyszedl.html"
1,"http://wyborcza.pl/7,75399,24800431,beda-przedterminowe-wybory-w-austrii-koniec-romansu-chadecji.html"
2,"http://wyborcza.pl/7,75398,24799022,premier-morawiecki-zakonczenie-roku-szkolnego-dwa-dni-wczesniej.html"
3,"http://wyborcza.pl/7,75398,24798828,tusk-glosujac-na-europe-glosujecie-tez-na-wolna-demokratyczna.html"
4,"http://kielce.wyborcza.pl/kielce/7,47262,24798558,dwoch-policjantow-rannych-podczas-interwencji-jeden-z-napastnikow.html"
5,"http://wyborcza.pl/7,75399,24798352,polityczne-trzesienie-ziemi-w-wiedniu-beda-nowe-wybory.html"
6,"http://wyborcza.pl/7,75400,24797843,krwawa-zemsta-na-hiszpanach-350-czlonkow-karawany-hernana-cortesa.html"
7,"http://wyborcza.pl/7,75399,24796962,australijscy-aborygeni-skarza-swoj-rzad-do-onz-po-raz-pierwszy.html"
8,"http://wyborcza.pl/7,155287,24796353,tak-zarabia-sie-dzis-na-mieszkaniach-kupujesz-remontujesz.html"
9,"http://wyborcza.pl/7,75398,24797627,wyborcza-pisze-o-pozwie-prezydent-duda-odpowiada.html"
