,urls
0,"http://warszawa.wyborcza.pl/warszawa/7,54420,22988011,trwa-rozbiorka-nielegalnego-samolotu-na-dzialce-przy-palacu.html"
1,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,22986870,dzikie-zwierzeta-na-podkarpackich-wsiach-sa-zle-traktowane-foto.html"
2,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22986941,piekna-historia-z-happy-endem-gdanszczanka-pomogla-bezdomnej.html"
3,"http://warszawa.wyborcza.pl/warszawa/7,54420,22987461,godzina-wychowawcza-w-areszcie-osadzone-jak-zwierzeta-w-klatkach.html"
4,"http://kielce.wyborcza.pl/kielce/7,47262,22987094,kontrowersje-wokol-ksiedza-z-kielc-gloryfikuje-naziste-przedstawia.html"
5,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22985330,ciekawe-znalezisko-podczas-remontu-w-budynku-magistratu.html"
6,"http://wyborcza.pl/7,75400,22987780,jest-tam-woda-i-gesta-atmosfera-zapierajace-dech-wiesci-o-siedmiu.html"
7,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22972141,bogini-ksiezyca-na-budowie-jak-powstal-jeden-z-najwiekszych.html"
8,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22985217,rekord-urodzen-w-sierakowicach-dzieki-500-plus-ale-gmina-ma.html"
9,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22987229,pierwszy-stalowy-slup-na-budowie-fabryki-mercedesa-w-jaworze.html"
10,"http://opole.wyborcza.pl/opole/7,35086,22987386,bedzie-protest-sedziow-srodowisko-jest-tak-solidarne-jak.html"
11,"http://wyborcza.pl/7,75398,22987456,jak-reduta-dobrego-imienia-chciala-wkrecic-legende-ak.html"
12,"http://wyborcza.pl/7,156282,22987573,anna-strezynska-ministerstwo-cyfryzacji-trzeba-zlikwidowac.html"
13,"http://wyborcza.pl/7,75398,22987318,nie-bedzie-serialu-o-pileckim-tvp-nie-chce-producenta-ktory.html"
14,"http://wyborcza.pl/7,75398,22987300,rzad-zaplaci-najubozszym-za-walke-ze-smogiem.html"
15,"http://wyborcza.pl/7,75398,22987122,jakub-r-oskarza-pis-rozsylajac-listy.html"
16,"http://wyborcza.pl/7,155287,22987069,komu-daja-najwieksze-podwyzki.html"
17,"http://wyborcza.pl/7,75399,22986067,cicha-mniejszosc-w-usa-nadal-opowiada-sie-za-trumpem.html"
18,"http://wyborcza.biz/biznes/7,147582,22986944,banki-walcza-o-klientow-tak-tanich-kredytow-jeszcze-nie-bylo.html"
19,"http://wyborcza.pl/7,75399,22987679,wielkie-spadki-na-wall-street.html"
20,"http://wyborcza.pl/7,75398,22987644,zdejmij-jarmulke-podpisz-ustawe-pawel-kukiz-przepraszam.html"
21,"http://wyborcza.pl/7,75399,22987546,benjamin-netanjahu-oczekujemy-gloszenia-prawdy-o-holokauscie.html"
