,urls
0,"http://krakow.wyborcza.pl/krakow/7,44425,24667232,radni-starego-miasta-chca-zatrudnic-sokolnika-do-ploszenia-golebi.html"
1,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24666107,nowy-ukrainski-kierunek-z-gdanska-wkrotce-polecimy-ryanairem.html"
2,"http://wyborcza.pl/7,75399,24666957,pierwszy-republikanin-rzuca-rekawice-trumpowi-w-wyscigu-do-bialego.html"
3,"http://wyborcza.biz/biznes/7,147880,24666090,co-z-oszczednosciami-z-ofe-jak-podjac-decyzje-gdy-koszty-sa.html"
4,"http://krakow.wyborcza.pl/krakow/7,44425,24666809,prokuratura-chce-kuratora-dla-stowarzyszenia-wiosna.html"
5,"http://olsztyn.wyborcza.pl/olsztyn/7,48726,24666099,kilkuset-nauczycieli-w-protescie-przed-ratuszem-w-olsztynie.html"
6,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24666493,handlarze-bursztynem-z-malborka-zatrzymani-w-nepalu-interweniuje.html"
7,"http://wyborcza.pl/7,75399,24666428,apostolowie-i-relikwie-nietkniete-piszczalki-zniszczone-co.html"
8,"http://wyborcza.pl/7,75398,24666255,bodnar-pisze-do-krrit-tvp-narusza-ustawe-o-radiofonii-i-telewizji.html"
9,"http://wyborcza.pl/7,155287,24665947,rzad-przyjal-projekt-ustawy-o-500-plus-na-kazde-dziecko-podal.html"
10,"http://krakow.wyborcza.pl/krakow/7,44425,24666209,pozar-katedry-notre-dame-abp-jedraszewski-do-metropolity-paryskiego.html"
11,"http://wyborcza.pl/7,75398,24666009,rzad-wraca-jednak-do-rozmow-z-nauczycielami-spotkanie-w-czwartek.html"
12,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24665983,s-zakazuje-ecs-korzystania-z-logo-zwiazku.html"
13,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24665169,wroclawianie-o-pozarze-notre-dame-sutryk-nasze-serca-lacza.html"
14,"http://lodz.wyborcza.pl/lodz/7,35136,24664934,youtuber-prowadzil-na-zywo-relacje-z-pobicia-sad-kazal-mu.html"
15,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24665866,jaroslaw-b-zatrzymany-byly-pilkarz-podejrzany-o-popelnienie.html"
16,"http://torun.wyborcza.pl/torun/7,48723,24665797,strajk-nauczycieli-prezydent-wieczorek-wspiera-protestujacych.html"
17,"http://wyborcza.pl/7,155287,24665796,efekt-ofe-czyli-budzet-na-sterydach-oplaty-przeksztalceniowej.html"
18,"http://zielonagora.wyborcza.pl/zielonagora/7,35182,24665659,strajk-nauczycieli-matka-pisze-list-do-rzadu.html"
19,"http://radom.wyborcza.pl/radom/7,48201,24665436,strajk-nauczycieli-szesc-przedszkoli-wycofalo-sie-ze-strajku.html"
20,"http://kielce.wyborcza.pl/kielce/7,47262,24665313,oskarzyl-wicemarszalka-z-po-dostal-prace-od-pis-sprzedawal.html"
21,"http://warszawa.wyborcza.pl/warszawa/7,54420,24665178,rodzice-przyszli-rano-pod-strajkujaca-szkole-to-tez-nasza.html"
22,"http://bialystok.wyborcza.pl/bialystok/7,35241,24664953,bestialski-mord-psow-w-gminie-jedwabne-prokuratura-skierowala.html"
23,"http://wyborcza.pl/7,75399,24664995,po-pozarze-notre-dame-francja-sie-jednoczy-polska-prawica-woli.html"
24,"http://czestochowa.wyborcza.pl/czestochowa/7,48725,24664084,jasna-gora-modla-sie-za-uratowanie-plonacej-katedry-notre-dame.html"
25,"http://krakow.wyborcza.pl/krakow/7,44425,24664400,pozar-katedry-notre-dame-kardynal-dziwisz-to-symbol-plonacej.html"
26,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24662708,wybudowali-centrum-radioterapii-za-60-mln-zl-rok-stalo-puste.html"
27,"http://wyborcza.pl/7,75399,24664409,ogien-ugaszony-na-szczescie-notre-dame-w-sredniowieczu-zbudowano.html"
28,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24663671,w-wiekszosci-wroclawskich-szkol-do-klasyfikacji-maturzystow.html"
29,"http://warszawa.wyborcza.pl/warszawa/7,54420,24663695,centrum-nauki-kopernik-bez-ogrodu-kosztowny-i-dlugi-remont.html"
30,"http://wyborcza.pl/7,75410,24664174,pulitzer-2019-polak-antoni-slodkowski-w-zespole-wyroznionym.html"
31,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,24662735,marsz-rownosci-w-bydgoszczy-przeciwnicy-zglosili-marsz-obroncow.html"
32,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24660821,proboszcz-usunal-witraze-w-gdynskiej-kolegiacie-nie-bylo-pozwolenia.html"
33,"http://wyborcza.pl/7,75399,24664304,wielokulturowa-francja-bedzie-solidarnie-odtwarzac-katolicka.html"
34,"http://wyborcza.pl/7,75399,24664296,notre-dame-plonie-i-francja-placze.html"
35,"http://poznan.wyborcza.pl/poznan/7,36001,24664172,gorliwy-rzecznik-ziobry-ma-klopoty-pisal-uzasadnienia-po-terminie.html"
36,"http://wyborcza.pl/7,75400,24662664,oddychamy-plastikiem-ktorego-drobinki-niesie-wiatr-przerazajace.html"
37,"http://wyborcza.pl/TylkoZdrowie/7,157387,24663798,pogoda-we-wtorek-16-kwietnia-2019-r.html"
38,"http://wyborcza.pl/7,75399,24663424,masowe-rewizje-i-aresztowanie-tatarskich-aktywistow-najwieksza.html"
39,"http://wyborcza.pl/7,75398,24663869,rzecznik-od-ziobry-sciga-prokuratorow-na-celowniku-korneluk.html"
40,"http://wyborcza.pl/7,75398,24663731,matury-wisza-na-strajku-rzad-bagatelizuje-problem.html"
41,"http://wyborcza.pl/7,75399,24664195,pulitzery-rozdane-nagrody-za-sledztwa-dotyczace-trumpa-i-ekologiczna.html"
42,"http://wyborcza.pl/7,75399,24664178,pozar-notre-dame-korespondent-wyborczej-metafizyczna-sila.html"
43,"http://wyborcza.pl/7,75399,24664168,pozar-notre-dame-dzisiejszego-wieczoru-czesc-naszej-duszy-uleciala.html"
44,"http://wyborcza.pl/7,75399,24664049,katedra-notre-dame-bezcenny-klejnot-francji.html"
45,"http://katowice.wyborcza.pl/katowice/7,35063,24663290,sedziowie-apeluja-do-sadow-dyscyplinarnych-wstrzymajcie-sie.html"
46,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24663773,przepedzona-za-teczowa-flage-z-manifestacji-poparcia-dla-nauczycieli.html"
47,"http://wyborcza.pl/7,75398,24663801,blisko-6-mln-zl-na-wsparcie-strajkujacych-nauczycieli-zbiorka.html"
48,"http://wyborcza.pl/7,113768,24663670,jarocin-jednak-sie-odbedzie-w-ostatniej-chwili-do-organizacji.html"
49,"http://wyborcza.pl/7,154903,24663646,wstrzasnal-swiatem-bo-nie-chcial-znowu-zawiesc-dzieci-niesamowity.html"
50,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24662341,miliony-wydano-na-nowa-droge-wojewodzka-ale-sluzy-jako-deptak.html"
51,"http://wyborcza.pl/7,75399,24662471,algieria-libia-jordania-maroko-sudan-czy-to-druga-arabska.html"
52,"http://wyborcza.pl/7,75399,24663630,pali-sie-katedra-notre-dame.html"
53,"http://poznan.wyborcza.pl/poznan/7,36001,24663126,strajk-nauczycieli-uczniowie-poznanskich-szkol-wychodza-na.html"
54,"http://krakow.wyborcza.pl/krakow/7,44425,24663512,google-blokuje-aplikacje-ratunek-miala-ratowac-ale-nie.html"
55,"http://wyborcza.biz/biznes/7,147880,24663494,morawiecki-oglosil-ostateczny-rozbior-ofe.html"
56,"http://kielce.wyborcza.pl/kielce/7,47262,24663425,wyrzucil-dwa-psy-z-okna-dziewiatego-pietra-po-co-sie-bedziesz.html"
57,"http://wyborcza.pl/7,154903,24663467,iga-swiatek-zostala-tenisistka-numer-jeden-w-polsce-i-wrocila.html"
58,"http://szczecin.wyborcza.pl/szczecin/7,34939,24663019,czy-uczniowie-otrzymaja-klasyfikacje-do-matury-dzisiaj-nie.html"
59,"http://wyborcza.pl/7,155287,24663113,raport-pwc-znowu-duzy-wzrost-na-polskich-lotniskach-w-tym.html"
60,"http://warszawa.wyborcza.pl/warszawa/7,54420,24663426,koledzy-z-osiedla-wlamali-sie-do-sasiada-dzgali-go-dlutem.html"
61,"http://wyborcza.pl/7,75398,24663357,sondaz-cbos-43-proc-dla-pis-w-sejmie-tylko-trzy-partie.html"
62,"http://poznan.wyborcza.pl/poznan/7,36001,24663292,strajk-nauczycieli-czy-beda-matury-dyrektor-powiedzial-ze.html"
63,"http://warszawa.wyborcza.pl/warszawa/7,54420,24663295,co-z-modernizacja-skry-remont-prawem-kaduka-blokuje-szef-klubu.html"
64,"http://bialystok.wyborcza.pl/bialystok/7,35241,24662838,strajk-nauczycieli-pisanki-ze-wsparciem-z-uniwersytetu-w-bialymstoku.html"
65,"http://wyborcza.pl/7,75398,24663182,beata-szydlo-do-nauczycieli-zawiescie-strajk-do-czasu-okraglego.html"
66,"http://wyborcza.pl/7,155287,24662773,byly-szef-volkswagena-ma-w-niemczech-zarzuty-za-spalinowy-szwindel.html"
67,"http://bielskobiala.wyborcza.pl/bielskobiala/7,88025,24662727,nauczycielka-apeluje-do-swoich-kolegow-nie-dajmy-sie-podzielic.html"
68,"http://wyborcza.pl/7,75400,24662271,nasa-podsumowala-projekt-blizniaki-ktory-ma-nas-przygotowac.html"
69,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24661711,solidarnosc-musi-przeprosic-kod-za-esbekow-sad-apelacyjny.html"
70,"http://katowice.wyborcza.pl/katowice/7,35063,24663008,nauczyciele-w-milczacym-protescie-jestesmy-jak-wyrzut-sumienia.html"
71,"http://wyborcza.pl/7,155287,24662770,bunt-w-domu-opieki-orpea-zwolnila-szefowa-zwiazku-zawodowego.html"
72,"http://wyborcza.pl/7,75398,24663077,unijny-trybunal-sprawiedliwosci-wzywa-nowa-krs-do-luksemburga.html"
73,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24662995,kosci-ludzkie-w-wykopie-pod-rurociag-na-miejsce-wezwano-policje.html"
74,"http://zielonagora.wyborcza.pl/zielonagora/7,35182,24662060,bo-pani-minister-bo-pani-minister-nas-odwiedzila-spiewaly.html"
75,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24662628,strajk-nauczycieli-maturzystki-z-kwidzyna-napisaly-do-anny.html"
